;rooms;bathrooms;value_price_clp;value_price_currency_clp;value_price_uf;value_price_currency_uf;parking;url;type_action;type_property;type_province;latitude;longitude;page;region;type_searching;type_house;date_publish;code_publication;img_element;Unnamed: 0
1381;;1.0;265.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/santiago/departamento/san-diego-1344/15527333;Arriendo Mensual;Departamento;Santiago;;;602;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;04/05/2023;15527333;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/santiago/0/2afaad20881540edb439b6f670fb65f4.jpeg;1320.0
1382;8.0;5.0;6.500.000;$;;;10.0;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/vitacura/casa/clinica-alemana/16818653;Arriendo Mensual;Casa;Vitacura;;;111;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;27/05/2023;16818653;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/vitacura/0/40ef8073aded4d2a809fb22470a07db7.jpeg;1321.0
1383;4.0;4.0;3.000.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/lo-barnechea/casa/camino-el-huinganal-camino-el-corregidor-cercano-colegios/16816551;Arriendo Mensual;Casa;Lo Barnechea;;;111;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;27/05/2023;16816551;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/lo-barnechea/0/166e44bfd1f84b10bbe07ee6539021f0.jpeg;1322.0
1384;4.0;2.0;750.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/santiago/casa/esperanza-huerfanos-metro-cumming-tt/16812894;Arriendo Mensual;Casa;Santiago;;;112;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;27/05/2023;16812894;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/santiago/0/24f0bdb8806444b5ad4f2c38971574f4.jpeg;1323.0
1385;4.0;3.0;;;85.0;UF;3.0;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/vitacura/casa/las-hualtatas/16693892;Arriendo Mensual;Casa;Vitacura;;;112;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;25/05/2023;16693892;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/vitacura/0/2e2e45d47d2e454f80c9350e9fb9f9cc.jpeg;1324.0
1386;6.0;5.0;;;150.0;UF;5.0;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/lo-barnechea/casa/condominio-lomas-de-la-dehesa/16471376;Arriendo Mensual;Casa;Lo Barnechea;;;112;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;21/05/2023;16471376;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/lo-barnechea/0/1d1d95417a4f407794c0b87d994077df.jpeg;1325.0
1387;5.0;4.0;;;108.0;UF;5.0;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/lo-barnechea/casa/-/16305949;Arriendo Mensual;Casa;Lo Barnechea;;;112;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;18/05/2023;16305949;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/lo-barnechea/0/c5aa2a5d64d9479f854991f40e5cb6ed.jpeg;1326.0
1388;7.0;4.0;3.700.000;$;;;2.0;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/providencia/casa/general-cordova-manuel-montt/9284627;Arriendo Mensual;Casa;Providencia;;;112;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;03/05/2023;9284627;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/providencia/0/ceac675b32264e10b0348f13d0ad3d08.jpeg;1327.0
1389;2.0;2.0;;;2.75;UF;;https://chilepropiedades.cl/ver-publicacion/venta/santiago/departamento/santiago-region-metropolitana/18738189;Venta;Departamento;Santiago;;;29;region-metropolitana-de-santiago-rm;venta;departamento;30/06/2023;18738189;https://cf.chilepropiedades.cl/imagenes/publicacion/venta/departamento/santiago/0/8847aa67e3b249e2af9ae762324b4e1b.jpeg;1328.0
1390;2.0;1.0;;;3.8;UF;;https://chilepropiedades.cl/ver-publicacion/venta/santiago/departamento/sta-elena-1631/17854997;Venta;Departamento;Santiago;;;29;region-metropolitana-de-santiago-rm;venta;departamento;14/06/2023;17854997;https://cf.chilepropiedades.cl/imagenes/publicacion/venta/departamento/santiago/0/d14bf598e56c440dbded2924038cf747.jpeg;1329.0
1391;2.0;2.0;;;3.85;UF;1.0;https://chilepropiedades.cl/ver-publicacion/venta/san-miguel/departamento/alcalde-pedro-alarcon-901/9556193;Venta;Departamento;San Miguel;;;29;region-metropolitana-de-santiago-rm;venta;departamento;11/06/2023;9556193;https://cf.chilepropiedades.cl/imagenes/publicacion/venta/departamento/san-miguel/0/8676d554d9214537beebaebafc0101b9.jpeg;1330.0
1392;4.0;2.0;273.000.000;$;;;4.0;https://chilepropiedades.cl/ver-publicacion/venta/penalolen/casa/los-jardineros/7742050;Venta;Casa;Peñalolén;;;29;region-metropolitana-de-santiago-rm;venta;casa;02/06/2023;7742050;https://cf.chilepropiedades.cl/imagenes/publicacion/venta/casa/penalolen/0/bbd41ec70eda4146931410525f64f8c6.jpeg;1331.0
1393;1.0;1.0;280.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/santiago/estudio/cordova-y-figueroa-1144/17700493;Arriendo Mensual;Estudio;Santiago;;;20;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;11/06/2023;17700493;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/estudio/santiago/0/37d0788e0b04466aa64c60f1cb7c6211.jpeg;1332.0
1394;1.0;1.0;320.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/santiago/departamento/av-vicuna-mackenna-625/17700370;Arriendo Mensual;Departamento;Santiago;;;20;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;11/06/2023;17700370;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/santiago/0/a80ebe0aa7894b44b234dd79c3c7c3b2.jpeg;1333.0
1395;2.0;2.0;600.000;$;;;1.0;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/santiago/departamento/morande-626/10288540;Arriendo Mensual;Departamento;Santiago;;;20;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;11/06/2023;10288540;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/santiago/0/eb8df740033a45149723a676e77f4a1a.jpeg;1334.0
1396;1.0;1.0;292.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/santiago/departamento/arriendo-departamento-amplio-en-santiago-con-promociones/18613183;Arriendo Mensual;Departamento;Santiago;;;601;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;28/06/2023;18613183;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/santiago/0/a366e34ae185499a9a3baf442a07553d.jpeg;1335.0
1397;2.0;1.0;290.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/independencia/departamento/leonor-cepeda-carrion/7578402;Arriendo Mensual;Departamento;Independencia;;;601;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;27/06/2023;7578402;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/independencia/0/7f5f1f9cad61472b8d3e780d18720e64.jpeg;1336.0
1398;4.0;5.0;2.800.000;$;;;2.0;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/las-condes/departamento/las-condes-region-metropolitana/10920377;Arriendo Mensual;Departamento;Las Condes;;;601;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;18/06/2023;10920377;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/las-condes/0/83743357212647c896e33f6fd5166e1b.jpeg;1337.0
1399;2.0;1.0;300.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/estacion-central/departamento/blanco-garces-154-estacion-central/17848952;Arriendo Mensual;Departamento;Estación Central;;;601;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;17/06/2023;17848952;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/estacion-central/0/d33755d403a8409f8099736684f2b299.jpeg;1338.0
1400;5.0;4.0;;;60.0;UF;3.0;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/vitacura/departamento/gran-via/12494163;Arriendo Mensual;Departamento;Vitacura;;;601;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;15/06/2023;12494163;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/vitacura/0/20a433a4c1e84ba180efeed48805d106.jpeg;1339.0
1401;3.0;1.0;370.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/quinta-normal/departamento/juan-de-barros-3885/17835965;Arriendo Mensual;Departamento;Quinta Normal;;;601;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;14/06/2023;17835965;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/quinta-normal/0/6078584a263149d182ec968c28efe6e4.jpeg;1340.0
1402;1.0;1.0;405.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/la-florida/departamento/de-un-dormitorio-en-suite-ubicado-en-excelente-barrio-entre-los-mall-florida-center-y-mall-plaza-vespucio/15150739;Arriendo Mensual;Departamento;La Florida;;;601;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;12/06/2023;15150739;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/la-florida/0/0f9929dfaef24fed80852b475b740b99.jpeg;1341.0
1403;1.0;1.0;300.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/santiago/departamento/merced-562/17695842;Arriendo Mensual;Departamento;Santiago;;;601;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;11/06/2023;17695842;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/santiago/0/5c40693b71eb4662ad732bea5c8befea.jpeg;1342.0
1404;1.0;1.0;280.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/estacion-central/departamento/ecuador-4698/17695833;Arriendo Mensual;Departamento;Estación Central;;;601;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;11/06/2023;17695833;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/estacion-central/0/eac5204454ad4433962ae1e2d4f815cd.jpeg;1343.0
1405;3.0;2.0;430.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/santiago/departamento/san-francisco-350/17695817;Arriendo Mensual;Departamento;Santiago;;;602;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;11/06/2023;17695817;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/santiago/0/a5c541b144704132b6ad75589badb33a.jpeg;1344.0
1406;1.0;1.0;280.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/estacion-central/departamento/constantino-54/17695804;Arriendo Mensual;Departamento;Estación Central;;;602;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;11/06/2023;17695804;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/estacion-central/0/d4ebde7963f44534aaceb19915d2e957.jpeg;1345.0
1407;1.0;1.0;290.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/la-florida/departamento/metro-macul-clinica-bupa/17651933;Arriendo Mensual;Departamento;La Florida;;;602;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;10/06/2023;17651933;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/la-florida/0/c4d2bf6a22e24503932d4031f4253f2b.jpeg;1346.0
1408;1.0;1.0;;;17.0;UF;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/providencia/departamento/antonio-bellet-av-providencia/17563440;Arriendo Mensual;Departamento;Providencia;;;602;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;09/06/2023;17563440;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/providencia/0/77b6496984bd4d1a83887b678a44bba7.jpeg;1347.0
1409;1.0;1.0;280.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/santiago/departamento/moneda-tucapel-jimenez/17559220;Arriendo Mensual;Departamento;Santiago;;;602;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;09/06/2023;17559220;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/santiago/0/51a2d49632b5471794bb1dcd220ccb08.jpeg;1348.0
1410;2.0;2.0;525.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/santiago/departamento/maule-nuble/17354758;Arriendo Mensual;Departamento;Santiago;;;602;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;06/06/2023;17354758;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/santiago/0/3b6cb344b2134dcea72fabe5199cbd57.jpeg;1349.0
1411;14.0;11.0;;;135.0;UF;3.0;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/providencia/casa/los-leones-con-eliodoro-yanez/18539425;Arriendo Mensual;Casa;Providencia;;;111;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;27/06/2023;18539425;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/providencia/0/7cdbf9e56f0149c5aa2fd796b236c9fd.jpeg;1350.0
1412;3.0;3.0;1.100.000;$;;;1.0;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/la-florida/casa/cam-las-cumbres-6829/17853135;Arriendo Mensual;Casa;La Florida;;;111;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;14/06/2023;17853135;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/la-florida/0/6e29422c28994183acd5ec287681b61e.jpeg;1351.0
